,Unnamed: 0,WellName,y_pred_1_date,y_pred_1_value,y_ture_1_date,y_true_1_value,y_pred_2_date,y_pred_2_value,y_ture_2_date,y_true_2_value,y_pred_3_date,y_pred_3_value,y_ture_3_date,y_true_3_value,y_pred_4_date,y_pred_4_value,y_ture_4_date,y_true_4_value,y_pred_5_date,y_pred_5_value,y_ture_5_date,y_true_5_value,rmse
164,164,MW-103s,2016-12-31,80.09353137383219,2017,63.083333333333336,2017-12-31,81.90455484174406,2018,72.66666666666667,2018-12-31,87.99735384165541,2019,78.08333333333333,2019-12-31,91.70654851802392,2020,79.23076923076923,2020-12-31,96.36777001275784,2020-12-04,76.0,208.6928684137095
165,165,MW-55,2012-12-31,39.93944485934777,2013,17.0,2013-12-31,64.31833457804332,2014,28.0,2014-12-31,91.63666915608664,2015,29.0,2015-12-31,121.89444859347772,2016,26.0,2016-12-31,155.0916728902166,2016-06-08,26.0,6325.7994321177275
166,166,TW-19,2016-12-31,688.0,2017,667.5,2017-12-31,688.0,2018,545.8333333333334,2018-12-31,688.0,2019,542.5,2019-12-31,688.0,2020,542.3076923076923,2020-12-31,688.0,2020-12-03,480.0,21258.421926364234
167,167,MW-99s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-08-13,0.5,0.0
168,168,TW-21,2016-12-31,176.00852120883053,2017,181.66666666666663,2017-12-31,225.39745229904267,2018,229.16666666666663,2018-12-31,185.68554321198624,2019,224.6153846153846,2019-12-31,194.703593784943,2020,273.57142857142856,2020-12-31,172.6396639549629,2020-12-03 00:00:00,190.0,1616.654154033976
169,169,MW-76d,2011-12-31,3.733053150108376,2011-10-07,3.0,2012-12-31,3.975226555944354,2013,3.0,2013-12-31,3.975226555944352,2013-07-11,3.0,2014-12-31,4.708279706052728,2015,5.0,2015-12-31,4.949563306636933,2015-07-06,5.0,0.5054290363320129
170,170,MW-120d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-10-12,0.5,0.0
171,171,MW-104,2016-12-31,6.278292887007019,2017,10.4,2017-12-31,8.542860652181709,2018,13.0,2018-12-31,8.794380204001603,2019,16.25,2019-12-31,11.033495066588197,2020,20.5,2020-12-31,11.260785529201089,2020-10-15,22.0,59.47725406755539
172,172,3365 Jackson Rd,2016-12-31,157.3,2017,160.0,2017-12-31,157.3,2018,170.0,2018-12-31,157.3,2019,150.0,2019-12-31,157.3,2020,180.0,2020-12-31,157.3,2020-08-11,180.0,250.48999999999978
173,173,PW-1,2016-12-31,470.0,2017,818.75,2017-12-31,470.0,2018,822.5,2018-12-31,470.0,2019,765.0,2019-12-31,470.0,2020,595.3846153846154,2020-12-31,470.0,2020-12-03,500.0,69905.82285502958
174,174,MW-126s,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-10-16,0.5,0.0
175,175,MW-37,2016-12-31,299.9999996825226,2017,246.0,2017-12-31,299.9999996825226,2018,252.5,2018-12-31,299.9999996825226,2019,220.0,2019-12-31,299.9999996825226,2020,242.5,2020-12-31,299.9999996825226,2020-12-09,230.0,3955.6999607597972
176,176,2805 Dexter Rd,2002-12-31,572.018069859867,2003,242.0,2003-12-31,667.2610303928343,2004,238.66666666666663,2004-12-31,775.2238230263084,2005,467.0,2005-12-31,896.7789395991598,2006,1107.3333333333333,2006-12-31,1033.4489503424134,2007,1293.0,99861.37604638879
177,177,MW-53d,2016-12-31,0.5,2017,0.5,2017-12-31,0.5,2018,0.5,2018-12-31,0.5,2019,0.5,2019-12-31,0.5,2020,0.5,2020-12-31,0.5,2020-12-03,0.5,0.0
